2021-07-13 15:28:02,417 | train | INFO | Config : {'random_seed': 42}
2021-07-13 15:28:02,419 | train | INFO | device: cpu
2021-07-13 15:28:02,419 | train | INFO | CUDA is available : False
2021-07-13 15:28:02,419 | train | INFO | PyTorch version : 1.9.0
2021-07-13 15:28:32,293 | train | INFO | Config : {'random_seed': 42}
2021-07-13 15:28:32,294 | train | INFO | device: cpu
2021-07-13 15:28:32,294 | train | INFO | CUDA is available : False
2021-07-13 15:28:32,294 | train | INFO | PyTorch version : 1.9.0
2021-07-13 15:33:36,177 | train | INFO | loss: 4.80964375
2021-07-13 15:33:52,476 | train | INFO | loss: 3.02871728
2021-07-13 15:34:07,837 | train | INFO | loss: 1.86340594
2021-07-13 15:34:24,501 | train | INFO | loss: 2.68227935
2021-07-13 15:34:39,942 | train | INFO | loss: 3.33421159
2021-07-13 15:34:55,032 | train | INFO | loss: 2.44364309
2021-07-13 15:35:15,190 | train | INFO | loss: 2.87484455
2021-07-13 15:35:29,926 | train | INFO | loss: 2.49708462
2021-07-13 15:35:49,281 | train | INFO | loss: 2.65017033
2021-07-13 15:36:02,163 | train | INFO | loss: 2.44922352
2021-07-13 15:36:14,563 | train | INFO | loss: 1.30474794
2021-07-13 15:36:29,322 | train | INFO | loss: 1.95491421
2021-07-13 15:36:45,189 | train | INFO | loss: 3.33063030
2021-07-13 15:37:02,063 | train | INFO | loss: 2.41058469
2021-07-13 15:37:16,778 | train | INFO | loss: 2.79298377
2021-07-13 15:37:28,905 | train | INFO | loss: 2.54738998
2021-07-15 10:36:10,861 | train | INFO | Config : {'random_seed': 42}
2021-07-15 10:36:10,863 | train | INFO | device: cpu
2021-07-15 10:36:10,863 | train | INFO | CUDA is available : False
2021-07-15 10:36:10,863 | train | INFO | PyTorch version : 1.9.0
2021-07-15 10:36:39,339 | train | INFO | loss: 4.80964375
2021-07-15 10:36:55,420 | train | INFO | loss: 3.02871728
2021-07-15 10:37:11,214 | train | INFO | loss: 1.86340594
2021-07-15 10:37:29,205 | train | INFO | loss: 2.68227935
2021-07-15 10:37:44,265 | train | INFO | loss: 3.33421159
2021-07-15 10:37:59,843 | train | INFO | loss: 2.44364309
2021-07-15 10:38:20,204 | train | INFO | loss: 2.87484455
2021-07-15 10:38:35,343 | train | INFO | loss: 2.49708462
2021-07-15 10:38:56,186 | train | INFO | loss: 2.65017033
2021-07-15 10:39:09,033 | train | INFO | loss: 2.44922352
2021-07-15 10:39:18,805 | train | INFO | loss: 1.30474794
2021-07-15 10:39:31,946 | train | INFO | loss: 1.95491421
2021-07-15 10:39:45,369 | train | INFO | loss: 3.33063030
2021-07-15 10:40:02,281 | train | INFO | loss: 2.41058469
2021-07-15 10:40:17,061 | train | INFO | loss: 2.79298377
2021-07-15 10:40:28,158 | train | INFO | loss: 2.54738998
2021-07-15 10:40:38,743 | train | INFO | loss: 1.25506258
2021-07-15 10:40:53,188 | train | INFO | loss: 4.73742533
2021-07-15 10:41:06,465 | train | INFO | loss: 3.05868721
2021-07-15 10:41:13,458 | train | INFO | loss: 2.45040679
2021-07-15 10:41:25,407 | train | INFO | loss: 2.04057908
2021-07-15 10:41:41,383 | train | INFO | loss: 2.54002237
2021-07-15 10:41:51,817 | train | INFO | loss: 2.10815763
2021-07-15 10:42:05,701 | train | INFO | loss: 3.40064287
2021-07-15 10:42:20,784 | train | INFO | loss: 2.80930901
2021-07-15 10:42:32,398 | train | INFO | loss: 3.67823029
